#    	Phi		Psi
191	47.74462	140.04895
192	44.97995	120.07970
193	18.24666	168.46405
194	39.48017	-163.96526
195	35.39070	123.06638
196	41.44403	145.31570
197	43.15226	127.32411
198	42.96046	176.43633
199	24.27612	175.50879
200	38.65853	132.26344
201	46.61490	141.21245
202	41.84122	93.59537
203	37.96235	143.86606
204	38.55674	-138.23425
205	36.20551	147.95424
206	42.11002	104.10122
207	44.49771	142.84482
208	26.32327	138.06906
209	36.87311	-143.73077
210	32.76082	159.74699
211	46.38268	141.55492
212	41.51538	93.20532
213	42.52831	59.30228
214	40.44097	30.18596
215	33.36585	47.05120
216	45.90355	59.39703
217	34.60271	39.54702
218	37.13899	30.97961
219	41.72690	51.02777
220	35.67796	50.10088
221	42.15972	39.90221
222	35.72258	32.41458
223	36.58389	59.02780
224	38.07845	40.02116
225	41.16328	32.72498
226	41.14340	46.88616
227	40.77259	47.33062
228	33.74582	25.28962
229	34.54680	50.52258
230	39.76377	41.25844
